id,web_name,first_name,second_name,element_type,position,team,selected_by_percent,price,now_cost
186,Andrey,Andrey,Nascimento dos Santos,3,MID,7,0.1,4.5,45
187,Arrizabalaga,Kepa,Arrizabalaga,1,GK,7,0.2,5.0,50
188,Aubameyang,Pierre-Emerick,Aubameyang,4,FWD,7,0.0,6.5,65
189,Azpilicueta,César,Azpilicueta,2,DEF,7,0.0,4.5,45
190,Baba,Abdul Rahman,Baba,2,DEF,7,0.0,4.0,40
191,B.Badiashile,Benoît,Badiashile,2,DEF,7,0.3,4.5,45
192,Bettinelli,Marcus,Bettinelli,1,GK,7,0.0,4.0,40
194,Chalobah,Trevoh,Chalobah,2,DEF,7,2.0,4.5,45
195,Chilwell,Ben,Chilwell,2,DEF,7,4.7,5.5,55
196,Chukwuemeka,Carney,Chukwuemeka,3,MID,7,1.0,4.5,45
197,Colwill,Levi,Colwill,2,DEF,7,2.1,4.5,45
198,Cucurella,Marc,Cucurella Saseta,2,DEF,7,3.7,5.0,50
199,Enzo,Enzo,Fernández,3,MID,7,1.9,5.0,50
201,W.Fofana,Wesley,Fofana,2,DEF,7,0.0,4.5,45
202,Gallagher,Conor,Gallagher,3,MID,7,1.7,5.5,55
203,Gusto,Malo,Gusto,2,DEF,7,8.2,4.0,40
206,James,Reece,James,2,DEF,7,2.7,5.5,55
207,Lukaku,Romelu,Lukaku Bolingoli,4,FWD,7,0.3,7.0,70
208,Madueke,Noni,Madueke,3,MID,7,1.2,5.5,55
210,Mudryk,Mykhailo,Mudryk,3,MID,7,0.9,6.5,65
211,N.Jackson,Nicolas,Jackson,4,FWD,7,17.9,7.0,70
212,Nkunku,Christopher,Nkunku,4,FWD,7,1.0,7.5,75
213,Pulisic,Christian,Pulisic,3,MID,7,0.0,5.5,55
