player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Freitas Afonso,ptPOR,3.0,Nacional,24,2000,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
Fresneda Iván,esESP,2.4,Sporting CP,19,2004,10.7,2,0,0,13,10,1,23,10,17,,,0,Matches
Frimpong Godfried,nlNED,2.0,Moreirense,25,1999,28.2,6,0,0,25,19,2,80,44,20,,,0,Matches
Fujimoto Kanya,jpJPN,3.0,Gil Vicente FC,25,1999,24.7,1,0,0,18,25,5,36,10,10,,,0,Matches
Fukui Taichi,jpJPN,3.0,Arouca,20,2004,24.3,5,0,0,28,29,0,21,31,32,,,0,Matches
Furtado Rúben,ptPOR,3.0,Braga,18,2005,0.6,0,0,0,1,2,0,2,0,0,,,0,Matches
Gabriel Tiago,ptPOR,2.0,Estrela,19,2004,10.9,2,0,0,13,8,1,2,20,12,,,1,Matches
Galeno,brBRA,2.4,Porto,26,1997,16.1,4,0,0,20,31,1,24,14,12,,,0,Matches
Galletto Tiago,uyURU,3.0,AVS Futebol,22,2002,1.0,2,0,0,6,0,0,0,0,0,,,0,Matches
Galović Nino,hrCRO,2.0,Arouca,32,1992,1.0,0,0,0,1,0,0,0,1,0,,,0,Matches
Garcês João Tiago Serrão,ptPOR,3.0,Nacional,31,1993,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
García,brBRA,2.0,Nacional,22,2002,31.1,5,0,0,23,39,1,125,41,50,,,0,Matches
Garcia Fabrício,cvCPV,3.4,Estoril,23,2001,14.1,3,0,0,29,56,1,23,6,18,,,0,Matches
García Santiago,esESP,3.0,Gil Vicente FC,22,2001,16.4,10,0,0,24,29,1,5,15,28,,,0,Matches
Gaspar Bruno,aoANG,2.0,Vitória Guimarães,31,1993,10.2,2,0,0,14,10,1,42,5,14,,,0,Matches
Gbane Mory,ciCIV,2.4,Gil Vicente FC,23,2000,16.3,3,0,0,20,9,0,1,38,23,,,0,Matches
Geovanny,ptPOR,3.0,Farense,20,2004,1.8,0,0,0,3,1,1,0,0,2,,,0,Matches
Geraldes André,ptPOR,2.4,Casa Pia,33,1991,14.9,5,0,0,15,12,1,21,13,9,,,0,Matches
Gharbi Ismaël,tnTUN,3.0,Braga,20,2004,11.8,2,0,0,17,33,1,78,6,16,,,0,Matches
Ginkel Marco,nlNED,3.4,Boavista,31,1992,7.6,2,0,0,14,9,0,2,2,6,,,0,Matches
Gomes José,ptPOR,2.0,Nacional,28,1996,26.0,3,0,0,24,15,3,86,24,22,,,0,Matches
gomes Pedro,ptPOR,2.0,Boavista,21,2003,16.1,7,1,0,19,12,2,5,16,27,,,0,Matches
Gomes Vítor,ptPOR,3.0,Rio Ave,36,1987,1.0,0,0,0,2,0,0,0,3,0,,,0,Matches
Gomes William,brBRA,4.0,Porto,18,2006,1.7,0,0,0,6,2,1,16,1,6,,,0,Matches
Gomez Victor,esESP,2.0,Braga,24,2000,21.2,1,0,0,15,22,0,89,24,26,,,0,Matches
Gonçalo Moreira Nuno,ptPOR,3.5,Casa Pia,25,1999,16.6,3,1,1,22,26,1,48,6,24,,,0,Matches
Gonçalves Franscisco,ptPOR,2.0,Nacional,20,2004,0.2,1,0,0,1,0,0,0,0,2,,,0,Matches
Gonçalves João,ptPOR,1.0,Boavista,23,2000,4.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Gonçalves Pedro,ptPOR,3.4,Sporting CP,26,1998,9.7,3,0,0,11,10,2,38,5,4,,,0,Matches
González Cristo,esESP,3.0,Arouca,26,1997,2.0,0,0,0,2,3,0,4,0,1,,,0,Matches
González Mario,esESP,4.0,Famalicão,28,1996,6.4,0,0,0,3,6,4,2,0,1,,,0,Matches
González Nicolás,esESP,3.0,Porto,22,2002,16.0,6,1,0,37,17,0,7,8,18,,,0,Matches
Gorby Jean,frFRA,3.0,Braga,22,2002,13.5,3,0,0,22,14,0,7,24,12,,,0,Matches
