player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Alani Ibrahim,ngNGA,3.0,Valladolid,18,2006,1.8,0,0,0,2,5,0,0,1,7,,,0,Matches
Albiol Raúl,esESP,2.0,Villarreal,38,1985,13.2,5,0,0,11,6,0,0,5,8,,,1,Matches
Alderete Omar,pyPAR,2.0,Getafe,27,1996,33.0,8,0,0,33,12,8,6,37,27,,,0,Matches
Aleñá Carles,esESP,3.0,Getafe,26,1998,5.0,1,0,0,8,11,2,6,0,3,,,0,Matches
Aleñá Carles,esESP,3.0,Alavés,26,1998,12.1,1,0,0,11,24,0,31,1,12,,,0,Matches
Alfon,esESP,3.5,Celta Vigo,25,1999,15.2,1,1,0,15,31,6,39,4,3,,,0,Matches
Allende Tadeo,arARG,3.0,Celta Vigo,25,1999,0.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Almeida Domingos André Ribeiro,ptPOR,3.4,Valencia,24,2000,22.0,2,0,0,28,38,2,67,7,32,,,0,Matches
Almena Iker,esESP,3.0,Girona,20,2004,0.5,0,0,0,0,1,0,4,0,0,,,0,Matches
Alonso Marcos,esESP,2.0,Celta Vigo,33,1990,29.4,10,2,1,31,28,2,41,33,21,,,0,Matches
Altimira Adrià,esESP,2.3,Leganés,23,2001,18.1,6,0,0,27,28,3,27,16,24,,,0,Matches
Altimira Sergi,esESP,3.0,Real Betis,22,2001,21.9,4,0,0,35,33,0,5,22,37,,,0,Matches
Álvarez Hugo,esESP,3.0,Celta Vigo,21,2003,17.5,6,0,0,25,16,3,30,9,10,,,0,Matches
Álvarez Julián,arARG,4.0,Atlético Madrid,24,2000,27.9,5,0,0,26,9,9,69,2,17,,,0,Matches
Álvarez Yeray,esESP,2.0,Athletic Club,29,1995,19.8,4,0,0,15,15,0,3,35,13,,,0,Matches
Amallah Selim,maMAR,3.0,Valladolid,27,1996,15.3,6,0,0,32,28,1,31,14,19,,,0,Matches
Amath,snSEN,3.5,Valladolid,28,1996,4.2,1,0,0,4,7,2,6,2,0,,,0,Matches
André Marcos,brBRA,4.0,Valladolid,27,1996,13.2,5,0,0,12,28,5,1,3,6,,,0,Matches
Antonetti Leandro,prPUR,4.0,Sevilla,21,2003,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Antoniu,esESP,3.0,Espanyol,21,2002,11.4,3,0,0,19,23,4,21,8,9,,,0,Matches
Antony,brBRA,3.0,Real Betis,24,2000,15.1,2,1,0,15,27,1,41,9,10,,,0,Matches
Anuar,maMAR,3.4,Valladolid,29,1995,19.1,7,0,0,30,48,10,22,17,27,,,0,Matches
Arambarri Aritz,esESP,2.0,Leganés,26,1998,2.0,0,0,0,0,0,0,0,3,1,,,0,Matches
Arambarri Mauro,uyURU,3.0,Getafe,28,1995,29.6,10,0,0,51,52,3,14,16,33,,,0,Matches
Aramburu Jon,veVEN,2.0,Real Sociedad,22,2002,27.3,8,0,0,50,42,3,46,28,68,,,0,Matches
Araújo Ronald,uyURU,2.0,Barcelona,25,1999,8.4,3,0,0,9,4,0,0,9,9,,,0,Matches
Ares Adu,esESP,3.0,Athletic Club,22,2001,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Areso Jesús,esESP,2.0,Osasuna,25,1999,34.2,9,0,0,31,20,8,170,8,41,,,0,Matches
Argüelles David,esESP,2.0,Getafe,22,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Arnaiz José,esESP,3.0,Osasuna,29,1995,1.5,0,0,0,0,5,4,17,4,5,,,0,Matches
Arribas Sergio,esESP,2.0,Real Betis,21,2003,1.0,0,0,0,0,0,0,0,3,4,,,0,Matches
Asano Takuma,jpJPN,3.4,Mallorca,29,1994,11.7,0,0,0,5,15,6,20,8,9,,,0,Matches
Asencio Raúl,esESP,2.0,Real Madrid,21,2003,18.6,3,0,0,12,19,1,0,16,17,,,0,Matches
Aspas Iago,esESP,3.5,Celta Vigo,36,1987,19.4,6,1,1,16,34,5,16,8,7,,,0,Matches
Asprilla Yaser,coCOL,3.4,Girona,20,2003,15.6,2,0,0,12,23,1,93,7,12,,,0,Matches
Ávila Ezequiel,arARG,3.4,Real Betis,30,1994,7.5,5,1,0,13,18,5,29,3,5,,,0,Matches
Aznou Adam,maMAR,2.3,Valladolid,18,2006,9.7,1,0,0,14,17,0,11,10,22,,,0,Matches
Azpilicueta César,esESP,2.0,Atlético Madrid,34,1989,9.7,1,0,0,8,6,3,5,6,14,,,0,Matches
Ba Papa,esESP,4.0,Girona,19,2004,0.5,0,0,0,1,4,0,1,0,1,,,0,Matches
Bade Loïc,frFRA,2.0,Sevilla,24,2000,29.8,7,1,0,26,10,0,8,27,27,,,0,Matches
Baena Alex,esESP,3.4,Villarreal,23,2001,28.8,9,0,0,43,47,5,208,23,16,,,0,Matches
Bailly Eric,ciCIV,2.0,Villarreal,30,1994,6.9,2,1,0,7,1,0,0,6,4,,,0,Matches
Bajcetic Stefan,esESP,2.4,Las Palmas,19,2004,10.8,4,0,0,21,14,0,4,15,14,,,0,Matches
Bakambu Cédric,cdCOD,4.0,Real Betis,33,1991,7.9,4,0,0,23,7,12,3,0,3,,,0,Matches
Balde Alejandro,esESP,2.0,Barcelona,20,2003,25.4,2,0,0,16,37,0,68,7,10,,,0,Matches
Balliu Iván,alALB,2.0,Rayo Vallecano,32,1992,13.3,3,0,0,19,15,1,20,12,15,,,0,Matches
Bamba Jonathan,ciCIV,3.4,Celta Vigo,28,1996,9.0,1,0,0,7,17,4,25,4,7,,,0,Matches
