player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Noubi Lucas,beBEL,2.0,Standard Liège,18,2005,20.0,3,0,0,21,19,0,12,35,24,,,0,Matches
Nsingi Nachon,beBEL,3.5,OH Leuven,22,2001,16.1,3,0,0,19,26,14,38,2,10,,,0,Matches
Ntelo Mitchy,beBEL,4.0,Charleroi,22,2001,0.4,0,0,0,0,1,1,0,2,0,,,0,Matches
Nuhu Isaac,ghGHA,3.5,Eupen,21,2002,28.1,3,0,0,36,62,24,44,14,13,,,0,Matches
Nurudeen Manaf,ghGHA,1.0,Eupen,24,1999,3.0,2,0,0,1,0,0,0,0,0,,,0,Matches
Nusa Antonio,noNOR,3.4,Club Brugge,18,2005,16.6,0,0,0,10,32,2,55,12,23,,,0,Matches
O'Neill Aiden,auAUS,3.0,Standard Liège,25,1998,16.7,4,0,0,30,27,0,9,15,27,,,0,Matches
Odoi Denis,ghGHA,2.3,Club Brugge,35,1988,11.5,8,0,0,18,20,0,14,11,14,,,0,Matches
Ogawa Ryoya,jpJPN,3.0,Sint-Truiden,26,1996,4.6,0,0,0,4,5,1,21,2,3,,,0,Matches
Ohio Noah,nlNED,4.0,Standard Liège,20,2003,3.5,1,0,0,9,2,2,2,0,2,,,0,Matches
