player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Fukuda Shiō,jpJPN,4.0,Gladbach,20,2004,0.7,0,0,0,2,0,1,1,0,0,,,0,Matches
Gamboa Cristian,crCRC,3.0,Bochum,34,1989,2.5,1,0,0,1,3,0,6,2,3,,,0,Matches
García Aleix,esESP,3.0,Leverkusen,27,1997,16.2,3,0,0,8,9,1,93,14,9,,,0,Matches
Gebel Viggo,deGER,3.0,RB Leipzig,16,2007,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
Geertruida Lutsharel,nlNED,2.0,RB Leipzig,24,2000,17.3,2,0,0,17,6,1,13,16,24,,,0,Matches
Geiger Dennis,deGER,3.0,Hoffenheim,26,1998,8.2,4,0,0,26,10,0,5,7,14,,,0,Matches
Gendrey Valentin,frFRA,2.3,Hoffenheim,24,2000,15.7,1,0,0,12,27,2,51,15,13,,,0,Matches
Gerhardt Yannick,deGER,2.4,Wolfsburg,30,1994,16.9,5,1,0,20,13,2,23,16,14,,,0,Matches
Geschwill Max,deGER,2.0,Holstein Kiel,23,2001,14.2,2,0,0,13,9,1,10,31,22,,,1,Matches
Giannoulis Dimitris,grGRE,3.0,Augsburg,28,1995,29.4,8,0,0,17,20,1,120,47,33,,,0,Matches
Gigovic Armin,baBIH,3.0,Holstein Kiel,22,2002,21.1,5,0,0,22,28,2,14,22,14,,,0,Matches
Gimber Benedikt,deGER,2.0,Heidenheim,27,1997,29.7,9,0,0,63,49,1,3,32,47,,,0,Matches
Ginter Matthias,deGER,2.0,Freiburg,30,1994,28.5,5,0,0,13,26,1,12,17,17,,,0,Matches
Gittens Jamie,engENG,3.0,Dortmund,19,2004,19.7,4,0,0,25,44,3,49,10,17,,,0,Matches
Gnabry Serge,deGER,3.4,Bayern Munich,29,1995,13.8,0,0,0,19,6,8,22,6,10,,,0,Matches
Gomis Tidiam,frFRA,4.0,RB Leipzig,17,2006,1.7,2,0,0,3,2,2,4,1,0,,,0,Matches
Goretzka Leon,deGER,3.0,Bayern Munich,29,1995,14.7,2,0,0,12,11,0,6,17,9,,,0,Matches
Gosens Robin,deGER,3.0,Union Berlin,30,1994,1.0,1,0,0,5,0,0,1,1,0,,,0,Matches
Götze Mario,deGER,3.0,Eintracht Frankfurt,32,1992,17.1,1,0,0,15,15,1,39,7,28,,,0,Matches
Gouweleeuw Jeffrey,nlNED,2.0,Augsburg,33,1991,32.7,9,0,0,22,13,2,17,39,31,,,0,Matches
