player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Ceccaroni Pietro,itITA,2.0,Lecce,26,1995,0.5,0,0,0,0,0,0,0,3,0,,,0,Matches
Ceccherini Federico,itITA,2.0,Hellas Verona,30,1992,15.7,9,1,0,31,19,0,4,17,19,,,0,Matches
Ceesay Assan,gmGAM,4.0,Lecce,28,1994,20.1,2,0,0,36,27,22,16,2,18,,,0,Matches
Ceide Emil,noNOR,4.0,Sassuolo,20,2001,5.7,0,0,0,4,7,1,6,1,2,,,0,Matches
Çelik Zeki,trTUR,2.4,Roma,25,1997,16.7,7,1,1,26,6,2,42,16,21,,,0,Matches
Cerofolini Michele,itITA,1.0,Fiorentina,23,1999,5.0,0,0,0,0,0,0,0,1,0,,,0,Matches
Chiesa Federico,itITA,3.4,Juventus,24,1997,9.5,2,0,0,13,11,2,42,0,10,,,0,Matches
Chiricheș Vlad,roROU,2.0,Cremonese,32,1989,10.9,2,0,0,16,8,0,0,22,20,,,1,Matches
Ciofani Daniel,itITA,4.0,Cremonese,37,1985,11.8,1,0,0,9,15,6,3,2,3,,,0,Matches
Cipot Tio,siSVN,3.0,Spezia,19,2003,1.5,0,0,0,1,2,0,7,0,6,,,0,Matches
Ciurria Patrick,itITA,3.0,Monza,27,1995,30.6,4,0,0,32,41,8,97,5,18,,,0,Matches
Cocetta Nicolò,itITA,2.0,Udinese,18,2003,0.4,0,0,0,0,0,0,0,1,0,,,0,Matches
Colley Omar,gmGAM,2.0,Sampdoria,29,1992,15.4,5,0,0,15,18,0,0,23,10,,,0,Matches
Colombo Lorenzo,itITA,4.0,Lecce,20,2002,16.8,4,0,0,37,16,8,10,1,8,,,0,Matches
Colpani Andrea,itITA,3.0,Monza,23,1999,10.5,1,0,0,22,26,0,33,3,8,,,0,Matches
Consigli Andrea,itITA,1.0,Sassuolo,35,1987,35.0,0,0,0,0,4,0,0,0,0,,,0,Matches
Conti Andrea,itITA,2.3,Sampdoria,28,1994,0.3,0,0,0,0,1,1,0,0,0,,,0,Matches
Coppola Diego,itITA,2.0,Hellas Verona,18,2003,13.1,5,0,0,10,0,0,3,14,17,,,0,Matches
Cordaz Alex,itITA,1.0,Inter,39,1983,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Correa Joaquín,arARG,4.0,Inter,27,1994,10.6,1,0,0,12,18,2,2,3,8,,,0,Matches
Cortinovis Alessandro,itITA,3.0,Hellas Verona,21,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Coulibaly Lassana,mlMLI,3.0,Salernitana,26,1996,32.1,12,0,0,53,49,1,10,25,53,,,0,Matches
Cragno Alessio,itITA,1.0,Monza,28,1994,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Cristante Bryan,itITA,3.0,Roma,27,1995,32.6,8,1,0,51,19,2,10,17,64,,,0,Matches
Črnigoj Domen,siSVN,3.0,Salernitana,26,1995,3.3,1,0,0,6,2,0,0,10,3,,,0,Matches
Cuadrado Juan,coCOL,2.4,Juventus,34,1988,23.1,6,1,0,33,44,2,83,25,33,,,0,Matches
Cuisance Mickaël,frFRA,3.0,Sampdoria,22,1999,6.9,1,0,0,8,5,1,19,4,12,,,0,Matches
D'Alessandro Marco,itITA,3.0,Monza,31,1991,3.2,2,0,0,6,9,1,13,1,5,,,0,Matches
D'Ambrosio Danilo,itITA,2.0,Inter,33,1988,8.1,3,1,0,16,11,0,9,10,19,,,0,Matches
D'Andrea Luca,itITA,4.0,Sassuolo,17,2004,3.5,0,0,0,4,9,1,7,1,0,,,0,Matches
Daniliuc Flavius,atAUT,2.0,Salernitana,21,2001,24.4,9,0,0,33,4,0,0,28,29,,,0,Matches
Danilo,brBRA,2.0,Juventus,31,1991,35.4,5,0,0,33,17,0,18,46,64,,,0,Matches
Darmian Matteo,itITA,2.4,Inter,32,1989,22.5,3,0,0,21,20,3,28,21,31,,,0,Matches
